 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Caráter atendimento: Outros tipo de acidente de trânsito
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";1486,89;24341,62;47190,91;5058,25;64323,16;67591,44;80314,50;53435,72;76179,06;82646,53;64408,52;80437,62;134613,94;75825,01;41609,46;100500,97;136326,10;85547,87;104650,36;84286,02;50659,95;66041,10;112058,81;141617,67;111248,33;117856,70;120810,10;88007,91;91653,70;91029,10;118135,69;152419,09;169428,88;95247,37;10024,54;30425,38;2531,74;1104,36;-;150,04;-;85107,46;112358,08;101474,02;77048,83;100500,05;122842,26;109799,23;119077,80;134515,79;170413,81;119051,43;100332,57;113786,63;96870,27;100252,06;154282,35;107137,15;126385,51;121195,99;137286,82;175524,95;82072,16;70187,60;77564,37;122478,30;42760,76;46101,21;95068,22;136281,00;71456,88;85602,79;95890,41;40458,30;96211,64;69115,36;101809,11;94909,02;197893,12;114395,51;64406,70;81400,40;154461,31;77624,18;110999,18;156093,19;186648,82;168058,33;109567,31;119090,48;106187,64;108725,09;143717,99;117301,12;129835,63;14912,73;161056,78;107295,19;121322,40;106444,92;85095,38;108585,93;150953,49;153608,59;138164,28;236389,91;275364,50;324259,14;398703,74;238176,57;218351,21;271757,01;333540,47;215795,72;219141,22;198819,63;230770,75;224206,86;266636,79;202552,14;162348,64;139873,19;218669,27;337533,21;219246,54;261394,69;204205,44;172214,57;216325,68;101297,08;159504,70;42065,75;154940,57;148900,91;141650,11;164942,89;156431,55;178392,83;228741,25;86732,81;110741,62;169152,88;266987,76;234925,37;267139,46;208434,83;268705,40;208988,92;162983,22;425201,78;378120,89;319781,15;315631,90;356402,67;316693,64;281254,92;423337,50;386692,27;299328,82;22838662,63
"25 Paraíba";291745,35;321371,32;239422,25;234955,40;275206,79;287009,33;250272,47;262910,82;324046,93;301296,44;197586,61;229383,17;318814,57;323657,41;271029,37;338985,22;389964,10;307118,08;372725,02;410193,06;405635,12;389335,51;370140,16;402547,53;432309,85;423878,46;412374,00;383013,79;413655,03;377906,80;446325,28;475579,74;429496,58;469373,24;547680,42;558231,54;543774,70;396976,50;309562,89;319409,92;292541,09;312314,25;280956,50;466933,32;494889,17;383198,67;331488,64;181760,80;237782,18;277534,91;208340,67;144735,92;308454,44;248439,65;172525,76;221760,33;230513,82;249922,57;336811,38;259391,60;281189,40;250433,10;228424,02;190178,21;283998,35;223129,24;275856,70;291957,03;198772,66;234686,41;233077,86;191168,96;158230,98;231090,80;245553,73;236226,30;226885,08;216080,56;233544,41;216300,20;254175,07;241322,73;157540,05;206757,99;141279,67;127010,07;139440,65;121131,43;116102,55;89797,40;100698,71;96192,91;94171,87;74298,49;84253,55;107455,58;88256,25;114702,98;99104,92;128795,14;66113,58;112635,92;155598,06;68345,12;107752,23;86500,10;119892,13;118082,69;85785,10;61917,84;57693,87;56994,76;74718,70;47211,71;64182,90;123492,38;48779,04;82400,35;138534,85;24427,64;21431,05;203878,64;98320,26;62699,22;61263,03;108728,53;39072,63;52292,08;91887,40;88718,24;145823,61;133646,00;163086,10;91975,84;98082,13;83257,67;156092,55;109589,45;146622,44;152895,66;107918,94;153006,72;121952,32;170438,54;157861,31;178465,99;176218,61;123557,95;58230,07;73789,21;70557,56;88541,52;87789,18;69778,98;109603,18;46881,58;81021,23;77181,08;47200,58;33134884,50
"26 Pernambuco";2095,54;29026,56;67750,40;14350,59;459689,79;780351,91;611619,26;773936,17;374625,81;2282,55;-;-;40,38;6331,23;306,57;853,50;491,63;5471,53;837,03;-;-;-;-;-;1181,91;932,74;-;-;-;319,42;-;5157,64;-;459,55;-;616,55;2174,21;1783,77;-;-;136,95;-;5663,23;-;4708,15;-;-;2250,02;54770,75;79403,97;57945,19;117254,91;128969,15;116837,87;113341,95;110628,91;92366,28;139576,40;253068,86;173620,90;113914,01;146783,71;190112,68;138031,19;134076,02;153490,09;71286,07;78851,60;135510,58;119538,35;46359,10;171789,00;186257,17;138373,33;88548,26;156975,97;184603,55;109615,95;141223,41;207195,29;141288,47;153146,59;116743,98;131587,00;91203,98;79307,10;65886,14;54737,08;125475,11;155624,50;90049,15;45543,05;3076,44;137932,53;102665,10;128874,26;205670,67;95637,95;224816,24;198376,70;245330,83;185244,21;217491,66;219596,33;170331,57;253411,71;183105,24;184826,12;132065,47;144783,07;299618,52;214389,72;230407,89;229583,30;237920,12;218550,03;199673,51;100912,04;193916,56;221784,81;218811,67;195008,57;213088,88;198542,40;192535,13;237499,22;195621,59;231980,53;168018,73;218448,30;171243,47;183701,89;223294,03;181786,00;206937,45;228076,02;209300,83;250349,34;261382,54;181203,43;229044,39;210814,25;215681,80;198148,66;196555,33;162579,92;140587,37;96772,52;398443,88;212403,23;322317,44;436192,95;300719,90;332416,90;339857,73;368180,55;328307,45;278739,00;355494,32;23026437,42
"27 Alagoas";13404,28;45640,80;16082,24;14376,57;15680,59;14606,50;2119,64;14870,58;8413,05;17165,14;10321,02;6248,47;-;3998,26;58191,96;51479,92;50857,98;23540,89;21280,48;36168,65;20434,95;49213,05;28939,12;36032,17;113004,57;65103,34;74501,22;23619,94;56693,74;29664,39;62858,74;39109,69;66569,53;99651,08;65793,26;52758,24;90487,07;73756,17;141235,20;121758,24;100856,75;90026,00;69636,54;64011,49;112121,20;70500,48;153461,39;84840,70;149232,32;97857,86;64262,69;78934,49;180746,67;204474,81;74139,66;82790,77;176049,16;76602,93;130548,50;102538,87;67320,51;107850,30;118860,12;147762,21;44419,32;140848,39;110327,88;98038,12;174080,38;146543,70;92420,40;125939,56;106226,50;82071,97;142258,19;89954,30;22160,22;29742,92;37492,42;92906,03;144013,10;78850,07;101103,05;186851,21;69912,65;99471,13;94448,59;61986,19;98880,27;159180,82;148080,39;94551,03;110931,54;71171,09;82518,34;149372,73;125872,87;132373,85;98942,90;127187,79;129132,08;85856,14;115039,43;127138,55;134166,82;178831,54;126703,54;201010,35;145842,61;121615,14;153738,41;124146,14;202818,20;168744,43;106711,88;156766,03;112735,20;198099,39;130768,57;121935,83;199421,16;158237,99;145116,22;198078,36;214880,84;224475,00;272740,80;174198,54;173248,77;209225,62;144974,10;151152,95;129204,23;157037,92;180865,90;139030,51;112509,18;217672,05;170025,81;147243,40;145151,21;198633,84;144087,71;134309,50;146911,25;207681,30;133337,46;201021,79;144182,79;168826,60;129902,01;190900,65;57004,33;79411,07;177669,46;150591,64;152393,63;179682,03;130726,21;17345751,17
"28 Sergipe";5493,68;2424,49;19049,43;11975,17;13196,91;6909,29;22847,44;1746,18;10128,15;1048,76;2582,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;632,13;-;-;490,88;-;-;-;-;-;-;-;-;-;-;-;-;2904,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;291,46;-;-;-;-;-;897,76;-;-;-;-;-;-;268,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2045,94;-;-;-;-;-;-;-;-;-;-;-;-;192,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105126,08
"29 Bahia";299260,90;255848,64;268608,38;285287,76;320440,63;291739,76;299530,90;269863,98;359531,07;268919,31;272542,12;160354,31;179185,79;212933,49;173420,91;185198,80;189357,41;165056,57;208605,96;201947,86;193395,82;270559,66;206552,84;242376,01;236710,61;191555,06;194290,17;177107,96;196061,54;197988,64;205439,63;223918,72;245050,31;267682,84;246508,25;233369,57;246429,89;144893,42;199118,50;236470,41;231243,06;230454,37;191871,46;234772,00;302356,11;265585,58;210298,41;217582,88;255603,95;262142,28;301728,09;285850,69;237284,50;236545,01;207544,97;203155,85;213802,48;153044,71;135651,04;105519,06;80834,83;82711,47;90669,65;124061,63;108887,71;111497,44;99595,89;117934,40;131416,69;125146,87;61294,27;63810,17;111656,00;87775,42;88716,93;19585,56;92351,96;128032,39;98840,76;111851,73;68225,63;104753,87;84619,75;58944,90;81382,70;132265,42;138267,17;83705,22;138871,28;114672,96;103186,79;106219,58;95693,18;93986,00;102939,90;105683,40;119371,16;33800,65;62190,24;75248,55;63869,41;50111,58;61538,16;70578,92;78522,20;53769,15;28750,25;49118,51;30484,52;30999,42;35978,41;18228,69;63299,58;33068,51;34930,89;43171,98;92008,57;46498,33;47151,83;33791,80;43669,82;42803,38;42001,58;25743,92;27602,06;34849,85;46830,78;18593,58;10244,21;11373,37;14327,55;19444,21;46074,37;56898,34;19627,37;18685,36;26637,76;20482,03;28351,11;22376,75;24363,70;22404,45;8954,52;27641,25;21410,52;23594,90;30432,95;22604,10;23694,30;14675,15;15454,74;20590,74;27799,25;39702,26;56145,97;39127,93;29577,07;39562,02;58147,94;19634222,89
"31 Minas Gerais";222263,80;277358,33;196512,62;219687,02;148355,09;308773,24;183843,07;260743,00;173882,67;241733,66;187755,23;155855,22;165098,84;195479,21;196265,95;207687,32;208624,30;171983,28;179898,63;197215,92;130961,18;154329,42;219335,86;142201,54;210984,11;181514,82;199736,09;240657,64;232059,89;249831,11;205355,77;222662,72;227963,92;180730,10;135934,01;160511,14;229216,44;208457,32;219224,48;211618,10;210209,90;239834,74;336502,74;281107,85;371943,89;274623,14;241213,81;244258,49;392449,32;154587,30;209170,04;274015,64;219782,52;253085,04;215294,97;262520,56;370339,80;330149,79;278906,71;288497,22;314982,68;220190,34;280678,33;273624,43;191393,11;259269,84;271084,43;367605,16;360411,77;335245,79;398237,03;331815,81;507818,07;373646,71;298254,15;279193,91;381665,39;373410,15;393623,29;339191,09;377707,52;272376,15;317430,37;350038,80;388793,82;292479,26;293010,42;401698,38;398905,10;258040,57;316143,00;258014,84;336235,63;262255,42;312940,68;378273,02;247101,30;198393,94;291312,86;298694,65;235433,88;253888,56;272833,51;284802,62;227377,19;223900,60;208597,13;373081,81;369224,33;421775,08;255471,07;241765,17;310368,22;201701,56;211344,65;285920,22;238480,85;158839,94;210018,85;186916,54;176989,30;147955,09;129825,04;182667,82;178982,94;253163,55;240050,66;136667,55;169628,22;159790,08;247072,01;184232,94;192579,58;170556,73;197983,85;123099,11;285868,33;236167,74;207897,83;256018,84;163821,31;251460,32;187978,30;164962,20;255362,76;153967,45;159375,44;200160,56;187910,21;169921,34;289715,84;190617,42;267693,19;200005,74;213628,85;261854,87;270721,26;244244,51;236065,03;39430388,33
"32 Espírito Santo";24127,97;34794,38;77522,20;133232,63;129405,36;146128,70;171494,29;162098,74;162180,54;116905,62;90525,82;139459,65;90559,62;89376,73;120016,39;113621,80;138669,29;136844,19;174916,15;150803,99;140547,81;156567,53;163478,26;163503,50;249014,29;171706,62;149587,27;136345,21;125939,49;130882,28;201164,65;154252,44;143038,83;177538,80;172648,07;100671,71;166791,82;184346,72;161305,96;198821,52;172538,00;142855,23;225071,28;219764,48;172815,25;191726,74;220410,73;145309,82;266501,95;247997,21;294439,86;211315,47;268067,80;174414,68;191651,59;183934,15;232683,03;165375,82;168903,22;138942,93;146122,16;193703,62;235490,28;125309,31;154120,33;209696,73;190377,81;201683,68;118213,62;201908,38;202146,95;231865,17;118726,67;125608,86;159363,47;134887,61;150200,40;120656,28;209849,17;241294,13;165906,21;169221,60;166787,35;179511,22;219813,00;214583,68;109666,12;229368,06;141164,41;171494,27;120500,96;126783,94;161728,95;117068,06;142131,66;176347,10;165244,18;139586,90;208869,05;157962,32;147996,74;174851,70;175737,34;187362,98;240417,03;130149,19;116192,31;152430,96;197845,71;154496,70;186099,48;152494,16;227472,51;145527,09;169871,33;180968,31;79984,13;97792,51;67711,60;78377,98;141734,28;146092,67;149219,59;175004,42;161762,91;138822,55;176287,50;146621,21;156586,74;153219,27;197511,75;213227,12;215169,42;154970,88;140658,92;148600,58;127048,70;143342,81;164054,33;136011,86;160237,17;208577,56;141982,04;126678,95;126426,33;97500,97;96194,24;85269,45;152154,58;123402,83;65944,99;158048,28;208359,25;233380,57;251566,46;171916,75;195384,48;194081,46;184128,81;25671482,19
"33 Rio de Janeiro";120139,08;152032,54;176264,01;122826,33;208941,65;309458,45;209311,99;143909,05;151571,62;133693,40;87118,81;133325,76;135513,82;187359,52;213413,78;164355,99;164397,77;175621,31;130641,47;115223,03;115996,76;122260,69;140518,02;164866,31;162110,77;219316,42;124393,88;113426,60;220621,17;220423,24;143207,59;173280,00;116201,48;161639,07;123976,26;249844,56;222123,91;232253,78;202752,21;134478,16;195662,05;252580,87;132584,29;215071,62;207252,90;115350,25;207518,32;168630,51;171480,25;147481,31;140782,15;200213,73;151611,24;135952,94;361403,68;385954,52;320744,59;288377,06;209044,50;307421,22;358335,38;335539,92;301282,01;334479,67;174384,04;360182,71;303640,96;235857,35;207127,43;328874,83;296536,88;292418,21;436874,45;273569,34;99143,34;142499,29;139920,04;169053,86;168705,64;175207,90;183129,52;138953,09;94280,91;160426,80;221075,08;155366,73;123804,95;162304,30;117770,32;167622,42;326483,50;164889,34;115829,44;169251,13;258650,82;202508,65;177079,94;169165,04;237214,39;148319,16;194104,86;146938,08;149616,09;208467,48;117739,83;185493,24;175220,12;265021,85;157198,51;202695,37;119049,40;104509,74;119239,06;117216,51;121978,38;80644,30;110227,35;146616,28;139468,38;101856,61;111923,92;122292,63;68790,59;74478,24;83314,46;62850,22;73223,44;89875,70;115314,19;49962,48;112522,25;118962,64;116670,89;100500,13;163760,53;145418,18;102347,66;127083,27;115551,87;128508,91;151670,40;131639,60;165198,57;104059,55;116566,89;154163,34;125023,00;127025,79;111793,23;148511,39;161127,67;98224,08;119910,00;219232,39;137945,14;168302,56;121601,74;-;-;26950336,02
"35 São Paulo";913363,72;1179783,97;1314252,41;962638,58;1488703,73;1423062,39;1357683,10;1249189,82;1326801,60;1230668,71;1008092,31;1131524,15;1197505,76;1484764,64;1334660,81;1126033,33;1330536,09;1296934,87;1287817,68;1384591,25;1359848,70;1426605,89;1620703,38;1877705,38;1859358,03;1453299,84;1558630,77;1611678,07;1759406,46;1523944,43;1676477,12;1484348,91;1588696,45;1313801,12;1506000,43;1646986,57;1395702,33;1265755,77;1447020,49;1313676,87;1636854,62;1439180,84;1654277,73;1331684,77;1608601,84;1557314,41;1603610,20;1521764,49;1368774,82;1196031,37;1740470,60;1436600,01;1465362,97;1489649,24;1425261,67;1353749,13;1441109,43;1497611,58;1312002,08;1662450,80;1687086,21;1259019,12;1267690,93;1212643,40;1192434,87;1384807,84;1731197,51;1853707,50;1738239,28;2311629,76;1700995,44;2032627,67;1912863,86;2121399,32;1862904,84;1931878,33;2195095,47;2110176,48;2459929,54;2068053,47;2006816,78;1882402,95;1909352,38;1851506,08;1732691,61;1849639,24;1788698,15;1916155,34;1832781,88;2138980,59;2219537,70;2120453,79;2009414,01;2014852,33;1996721,68;2576575,39;2031808,07;2230316,87;1918911,43;1767029,02;2089476,91;2030009,88;2046476,17;1996043,00;2380037,97;2567554,62;2088853,42;2279772,91;2474060,44;1894701,42;1955159,16;1998935,42;2051582,47;1951032,30;2744337,01;2433421,54;2288661,16;2059077,42;1886728,29;1795108,11;2137950,69;1848155,66;1769669,89;2046327,90;1930481,19;1972107,47;2034346,90;1883499,61;2136009,79;1790249,98;1805031,81;1794377,03;2301759,05;1916053,91;1866458,81;1919222,35;1945198,15;1777683,72;1917297,84;1920448,64;2064389,80;2461314,44;1991792,30;1934901,87;2297484,89;1769781,73;2155095,86;1714479,43;1546828,18;1795932,71;2016887,49;1830129,57;1813960,15;1881971,72;2011831,74;1972044,90;2349642,92;2054719,58;2144880,53;280821074,48
"41 Paraná";207862,04;404242,20;485491,35;466104,88;639477,53;904077,73;814957,12;776337,77;634160,17;451203,54;309511,13;414394,45;430223,79;270178,27;374289,97;318798,46;489900,67;403037,97;393017,50;393753,46;260963,97;401601,98;301512,20;428694,99;507178,57;390823,10;372544,91;290547,21;388481,86;384732,32;276083,33;300564,48;328123,03;213087,71;230390,48;256975,93;246372,27;285049,01;305727,92;494715,41;396096,64;342712,23;348488,64;341572,61;394995,68;408519,22;475165,96;500274,86;362844,04;480139,97;443829,96;426072,44;339570,57;482693,41;362969,12;512823,09;638499,30;604400,20;522809,69;478578,15;465910,64;512659,01;360890,75;408235,72;393186,91;372961,66;453594,51;377331,01;600913,39;497911,55;582963,40;509765,75;572409,74;399010,15;362894,90;505078,69;398739,57;390450,70;377396,08;441456,81;520958,95;497896,36;398838,42;548173,13;447742,66;411260,27;254885,37;391568,06;301499,33;467549,51;378448,82;324669,83;356353,33;368630,88;453424,11;379899,37;436822,71;293095,48;356462,08;290398,42;426153,38;420414,46;402273,02;363936,39;246741,26;434549,26;427966,83;452605,75;395319,04;440172,40;315799,95;360562,86;336499,96;317336,17;338182,15;422469,43;374826,01;372159,39;483863,62;446358,44;337888,72;287631,90;419698,53;317550,55;294729,70;359316,00;270600,15;349466,90;306298,99;328910,88;234812,98;200391,96;396410,23;283192,51;269029,18;261165,64;333004,50;340611,04;277555,80;275733,40;323690,84;242723,93;242135,32;253861,99;393586,46;291971,26;210552,42;225440,83;320072,23;229563,67;309117,20;377830,58;408583,23;377843,80;401522,82;263618,41;310619,34;256905,52;273612,44;61606026,11
"42 Santa Catarina";56627,82;168488,55;170133,71;143139,38;151489,08;168143,45;128350,56;195930,36;112689,62;96578,24;56293,61;16374,31;126144,22;132461,62;124823,31;144725,15;196730,06;98889,29;142169,53;132387,61;81458,56;116401,95;207022,60;124896,12;181141,78;207880,56;123102,03;227252,80;170236,55;229196,17;262989,43;261649,27;162898,39;168834,29;245668,78;163604,36;170040,88;176384,09;103811,19;218626,41;200981,24;205152,01;203241,71;109356,72;242590,03;277357,74;137508,70;138603,30;317593,39;182016,52;186293,70;133362,18;200910,76;171028,93;194047,25;200335,02;178647,46;306708,00;340983,14;302676,91;324647,65;325375,23;282404,22;526842,32;519732,85;374176,00;452796,18;352315,25;411665,92;378804,01;371919,49;333757,58;461766,36;476706,57;309408,43;283590,14;435211,25;368047,43;333420,27;229977,41;163005,87;240748,08;315878,66;256354,19;447191,13;246333,69;333735,10;289708,42;189043,69;297714,86;324382,81;258361,60;316596,72;332747,09;208322,88;353324,58;317975,21;413098,11;249005,09;342033,79;365458,49;222305,13;237057,11;249487,98;207081,17;371208,18;326318,62;306841,32;356389,72;300780,84;279573,82;238745,57;279489,53;272963,17;271873,38;197702,82;134231,24;242958,47;231600,35;202172,47;202550,13;340317,63;174412,02;188851,00;289706,60;213298,64;232745,82;288235,26;248495,90;285667,39;219682,37;148129,19;182417,75;201785,77;94270,03;140201,89;154269,78;123394,35;103094,92;179259,51;194440,28;144232,40;76365,59;61063,77;92852,32;145805,18;87142,65;152036,87;105733,56;66278,83;93235,81;96842,49;126843,89;181343,55;132929,43;126499,82;122487,83;168013,71;58183,59;35380543,43
"43 Rio Grande do Sul";223412,52;602873,66;784401,03;350405,61;498178,67;438755,11;290365,17;331221,69;274488,59;212032,04;129887,58;123257,08;43383,56;47722,00;60761,34;40126,51;66252,27;33597,46;27227,16;34932,97;14633,76;24439,87;8022,32;12104,10;30690,53;9324,78;8535,71;22623,11;17481,66;28182,42;20714,38;9362,21;16355,53;16200,23;24825,24;19963,91;31338,08;8873,55;3951,87;12964,66;7940,54;6638,68;14021,02;12564,27;2974,19;5203,07;25174,36;22697,52;43562,78;8651,11;15026,17;9670,02;21389,85;10209,87;12339,63;17726,24;21797,41;56975,15;9797,62;19407,87;6511,10;8459,97;18982,39;18629,52;21870,36;6539,34;19265,15;18311,99;27397,49;6377,76;9775,22;15736,84;4354,02;11303,07;11522,49;14385,69;15507,91;19060,93;7603,23;11692,66;16094,74;38353,05;8094,57;3103,56;4507,95;15409,39;17489,52;30173,16;2535,10;16446,51;2724,25;13179,23;32379,97;29694,09;26578,05;6561,35;38195,51;14789,52;51873,70;30259,84;24957,55;10041,29;11540,40;12266,23;23899,68;26147,50;21638,30;23655,83;5921,44;13166,30;12156,02;15998,26;31602,93;28967,45;14396,30;36056,58;41554,64;17559,59;35528,58;16902,57;11728,07;21679,24;14788,29;28861,91;9714,13;18978,03;17485,44;23682,38;37812,72;19382,82;25719,95;28802,00;19579,72;9207,66;12134,86;34076,87;22189,22;2504,17;34657,16;47091,33;26894,71;55364,95;12177,99;28681,54;13828,83;39108,37;22412,14;17285,06;48480,58;19295,81;22857,37;32259,36;12340,14;24641,11;21916,09;38197,57;23001,47;9307,25;-;7301451,25
"50 Mato Grosso do Sul";45972,56;20677,99;22823,63;17787,31;24853,57;18640,31;11659,47;569,69;19357,00;1428,74;7331,29;136,95;8163,85;281,90;9925,87;587,16;12561,65;1347,09;1117,51;2181,40;5306,77;7864,75;3361,49;12668,25;-;14309,97;-;8113,95;-;-;-;2248,17;429,30;1123,33;380,69;13263,84;-;4129,45;7256,10;1169,15;544,44;643,08;-;-;-;-;-;1242,77;-;-;-;-;-;-;-;-;-;380,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1502,08;-;215,33;398,66;52,22;422,66;581,70;263,33;144,95;438,66;-;-;359,04;-;-;-;-;-;199,33;199,33;63,27;-;215,33;255,33;63,27;199,33;199,33;-;-;-;-;259,55;1020,65;-;44,22;-;-;-;-;-;627,97;63,27;-;-;1433,47;-;185,88;-;398,66;579,32;243,55;243,55;-;199,33;-;287,77;-;199,33;669,99;-;243,55;199,33;-;-;398,66;-;-;44,22;-;-;-;44,22;-;-;-;325000,77
"51 Mato Grosso";8380,18;176280,97;29061,29;17996,28;40522,68;15900,00;26332,68;21715,55;17367,81;48155,33;15468,68;29552,06;18690,13;524,14;25370,80;28295,16;28635,76;19759,19;18094,14;11668,30;45649,82;15498,80;16416,52;20094,49;34876,71;23234,94;1365,07;2371,82;-;33859,93;32702,86;13684,10;10664,29;17847,19;14726,82;3195,73;15920,20;8864,62;6077,69;426,70;5556,86;26134,79;9181,09;53685,22;9494,87;108,25;7646,40;10089,06;26376,20;30423,81;8302,31;9925,66;13139,07;5166,00;1345,71;4584,65;6901,50;8229,62;1671,64;8319,72;16123,91;21610,65;10686,03;4841,96;10927,57;13701,42;27392,78;11607,29;27749,86;14280,54;22512,73;36025,37;14015,66;59593,89;108545,12;135117,22;113776,04;204695,82;168193,07;180223,73;161786,81;158686,64;126982,06;29722,06;105159,83;72949,17;65844,42;131703,07;124516,84;138301,99;130233,06;140642,08;113514,54;145907,83;108445,97;72796,58;172075,10;155589,40;189848,86;230876,44;169263,46;165218,31;164731,29;296647,65;185021,38;227215,55;215498,58;200871,51;146965,83;154005,87;177001,01;156593,38;267445,49;151032,00;364320,16;232267,60;227989,04;283023,45;258295,00;142546,49;268979,66;177687,62;242165,34;182179,63;210059,14;219057,85;252578,93;352656,79;165094,61;239664,99;184375,74;113142,80;248857,13;323298,39;268405,40;194096,02;160673,60;138683,58;212823,97;202434,84;175007,07;171349,92;161026,73;111440,44;58732,92;11871,64;10493,71;16123,86;16552,10;12600,82;8226,07;5769,31;11349,10;12261,64;10025,04;17096,74;11763,10;2941,42;132,51;14306368,49
"52 Goiás";105045,21;73485,38;22550,99;17690,93;30904,56;3936,35;43253,19;73554,79;53746,34;38998,82;20472,38;50118,14;32849,85;86507,59;119591,82;70642,26;84096,32;88893,33;67268,76;71760,37;106536,35;52969,44;65236,21;45921,98;46929,98;39675,07;31047,25;54078,71;44506,76;63667,45;67800,50;37892,04;53844,13;39279,14;19806,81;57241,20;43657,88;11423,04;39861,91;9146,65;22749,79;22740,04;9099,24;7689,42;17976,34;8267,19;7129,69;3447,35;24834,04;8032,74;22198,01;14590,71;25666,22;14821,10;29905,61;33898,28;43923,88;2256,05;60127,47;38369,61;40403,04;9370,17;9846,52;7130,21;11063,97;3459,71;15973,36;-;3883,03;5333,44;199,33;-;-;2078,53;9392,24;4154,98;65807,28;-;1448,52;-;-;-;19285,76;-;-;8981,90;-;20292,56;-;11115,03;11843,53;65503,26;24651,48;40519,37;4676,05;25705,93;29940,00;99688,96;19899,55;79954,31;37444,56;20410,85;3674,41;-;173,99;-;-;-;395,74;-;-;-;-;-;-;577,00;-;-;-;-;406,66;-;-;-;-;-;636,24;-;-;-;-;-;-;-;-;-;-;266,71;-;-;67,38;-;-;-;-;-;-;656,17;-;-;-;-;-;-;-;-;-;-;-;3219924,39
